Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Esp32 mini c3","Controlling with the phone",1,2.40,"https://www.aliexpress.com/item/1005010312887045.html?spm=a2g0o.productlist.main.5.3f9b600cVHZFio&algo_pvid=78320889-8361-46aa-ad82-4865cd6ef66c&algo_exp_id=78320889-8361-46aa-ad82-4865cd6ef66c-4&pdp_ext_f=%7B%22order%22%3A%221319%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.98%212.98%21%21%2123.24%2123.22%21%40210388c917744276254814323e884e%2112000051899290536%21sea%21GR%213175770038%21X%211%210%21n_tag%3A-29919%3Bd%3A6db62c4c%3Bm03_new_user%3A-29895&curPageLogUid=ZZZyJdpMKHje&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010312887045%7C_p_origin_prod%3A","AliExpress"
"Motor driver","Control the motor",1,1.60,"https://www.aliexpress.com/item/1005009044264044.html?spm=a2g0o.cart.0.0.53e538daNWTu8o&mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.84%21EUR%203.53%21%21EUR%203.53%21%21%21%40210390b817744275687766220eaedd%2112000056450741861%21ct%21GR%213175770038%21%211%210%21","AliExpress"
